Te_vs_p_abscissa,Te_vs_p_spline,Te_vs_p_regression,p_vs_Te_abscissa,p_vs_Te_spline,p_vs_Te_regression
1.44146e-07,0.0589296,0.142232,-1.63011,0.0423847,0.0565937
0.000402974,0.0633835,0.135812,-1.60781,0.0429894,0.0560274
0.000805803,0.0737514,0.129391,-1.58551,0.043594,0.0554611
0.00120863,0.0783961,0.12297,-1.56321,0.0441987,0.0548949
0.00161146,0.0808855,0.116549,-1.54091,0.0448034,0.0543286
0.00201429,0.0820853,0.110128,-1.51861,0.0451372,0.0537623
0.00241712,0.0851023,0.103707,-1.49631,0.045397,0.053196
0.00281995,0.0916193,0.0972866,-1.47401,0.0456567,0.0526298
0.00322278,0.100838,0.0908657,-1.45171,0.0459165,0.0520635
0.00362561,0.113965,0.0844449,-1.42941,0.0457251,0.0514972
0.00402844,0.130076,0.078024,-1.40711,0.0455034,0.0509309
0.00443127,0.148321,0.0716032,-1.38481,0.0452816,0.0503647
0.0048341,0.167629,0.0651824,-1.36251,0.0450598,0.0497984
0.00523693,0.187665,0.0587615,-1.3402,0.044838,0.0492321
0.00563976,0.208052,0.0523407,-1.3179,0.0446163,0.0486658
0.00604259,0.227791,0.0459199,-1.2956,0.0443945,0.0480996
0.00644542,0.246696,0.039499,-1.2733,0.0441727,0.0475333
0.00684825,0.263713,0.0330782,-1.251,0.0439509,0.046967
0.00725107,0.278208,0.0266574,-1.2287,0.0437292,0.0464007
0.0076539,0.290024,0.0202365,-1.2064,0.0435074,0.0458344
0.00805673,0.297608,0.0138157,-1.1841,0.0432856,0.0452682
0.00845956,0.300437,0.00739484,-1.1618,0.043011,0.0447019
0.00886239,0.303265,0.000974007,-1.1395,0.0425375,0.0441356
0.00926522,0.282253,-0.00544683,-1.1172,0.042064,0.0435693
0.00966805,0.261184,-0.0118677,-1.0949,0.0415789,0.0430031
0.0100709,0.240115,-0.0182885,-1.0726,0.0410833,0.0424368
0.0104737,0.219047,-0.0247093,-1.0503,0.0405877,0.0418705
0.0108765,0.197978,-0.0311302,-1.028,0.0400921,0.0413042
0.0112794,0.176909,-0.037551,-1.0057,0.0395965,0.040738
0.0116822,0.155841,-0.0439718,-0.983401,0.039129,0.0401717
0.012085,0.134772,-0.0503927,-0.961101,0.0386807,0.0396054
0.0124879,0.113703,-0.0568135,-0.9388,0.0382325,0.0390391
0.0128907,0.0926346,-0.0632344,-0.9165,0.0377842,0.0384729
0.0132935,0.0715659,-0.0696552,-0.8942,0.0373489,0.0379066
0.0136963,0.0504972,-0.076076,-0.8719,0.0369825,0.0373403
0.0140992,0.0294285,-0.0824969,-0.849599,0.0366232,0.036774
0.014502,0.00835985,-0.0889177,-0.827299,0.0363302,0.0362078
0.0149048,-0.0127088,-0.0953385,-0.804999,0.0360538,0.0356415
0.0153077,-0.0337775,-0.101759,-0.782699,0.0358928,0.0350752
0.0157105,-0.0548462,-0.10818,-0.760398,0.0357318,0.0345089
0.0161133,-0.0759149,-0.114601,-0.738098,0.0355708,0.0339426
0.0165162,-0.0969836,-0.121022,-0.715798,0.0354992,0.0333764
0.016919,-0.118052,-0.127443,-0.693498,0.0355465,0.0328101
0.0173218,-0.139121,-0.133864,-0.671197,0.0355937,0.0322438
0.0177246,-0.16019,-0.140284,-0.648897,0.0356438,0.0316775
0.0181275,-0.181258,-0.146705,-0.626597,0.0358573,0.0311113
0.0185303,-0.202327,-0.153126,-0.604297,0.0360984,0.030545
0.0189331,-0.223396,-0.159547,-0.581996,0.03638,0.0299787
0.019336,-0.244464,-0.165968,-0.559696,0.0366798,0.0294124
0.0197388,-0.265533,-0.172389,-0.537396,0.0369757,0.0288462
0.0201416,-0.286602,-0.178809,-0.515096,0.0372583,0.0282799
0.0205444,-0.30767,-0.18523,-0.492795,0.0374887,0.0277136
0.0209473,-0.328739,-0.191651,-0.470495,0.0376679,0.0271473
0.0213501,-0.349808,-0.198072,-0.448195,0.0377844,0.0265811
0.0217529,-0.370877,-0.204493,-0.425895,0.0377917,0.0260148
0.0221558,-0.391945,-0.210914,-0.403594,0.0375323,0.0254485
0.0225586,-0.413014,-0.217334,-0.381294,0.0372045,0.0248822
0.0229614,-0.434083,-0.223755,-0.358994,0.0368768,0.024316
0.0233643,-0.455151,-0.230176,-0.336694,0.0365296,0.0237497
0.0237671,-0.47622,-0.236597,-0.314393,0.0357808,0.0231834
0.0241699,-0.497289,-0.243018,-0.292093,0.0345955,0.0226171
0.0245727,-0.518357,-0.249439,-0.269793,0.0333412,0.0220508
0.0249756,-0.539426,-0.255859,-0.247493,0.0320868,0.0214846
0.0253784,-0.560495,-0.26228,-0.225192,0.0305512,0.0209183
0.0257812,-0.581563,-0.268701,-0.202892,0.0286044,0.020352
0.0261841,-0.602632,-0.275122,-0.180592,0.0263883,0.0197857
0.0265869,-0.623701,-0.281543,-0.158292,0.0240046,0.0192195
0.0269897,-0.644769,-0.287964,-0.135991,0.0215854,0.0186532
0.0273925,-0.665838,-0.294384,-0.113691,0.019261,0.0180869
0.0277954,-0.686907,-0.300805,-0.0913909,0.0171817,0.0175206
0.0281982,-0.707976,-0.307226,-0.0690907,0.0151023,0.0169544
0.028601,-0.729044,-0.313647,-0.0467904,0.013023,0.0163881
0.0290039,-0.750113,-0.320068,-0.0244902,0.0109437,0.0158218
0.0294067,-0.771182,-0.326489,-0.00218994,0.00958744,0.0152555
0.0298095,-0.79225,-0.33291,0.0201103,0.00879624,0.0146893
0.0302124,-0.813319,-0.33933,0.0424106,0.00852286,0.014123
0.0306152,-0.834388,-0.345751,0.0647108,0.00865906,0.0135567
0.031018,-0.855456,-0.352172,0.0870111,0.0091494,0.0129904
0.0314208,-0.876525,-0.358593,0.109311,0.00990036,0.0124241
0.0318237,-0.897594,-0.365014,0.131612,0.0107304,0.0118579
0.0322265,-0.918662,-0.371435,0.153912,0.011572,0.0112916
0.0326293,-0.939731,-0.377855,0.176212,0.0122668,0.0107253
0.0330322,-0.9608,-0.384276,0.198512,0.0128929,0.010159
0.033435,-0.981868,-0.390697,0.220813,0.0131305,0.00959277
0.0338378,-1.00294,-0.397118,0.243113,0.0131661,0.00902649
0.0342406,-1.02401,-0.403539,0.265413,0.0129188,0.00846022
0.0346435,-1.04507,-0.40996,0.287713,0.0125168,0.00789394
0.0350463,-1.06614,-0.41638,0.310014,0.0119234,0.00732766
0.0354491,-1.08721,-0.422801,0.332314,0.0112816,0.00676139
0.035852,-1.10828,-0.429222,0.354614,0.0104981,0.00619511
0.0362548,-1.12935,-0.435643,0.376914,0.00967627,0.00562884
0.0366576,-1.15042,-0.442064,0.399215,0.00883165,0.00506256
0.0370605,-1.13696,-0.448485,0.421515,0.00803564,0.00449628
0.0374633,-1.06778,-0.454905,0.443815,0.00726219,0.00393001
0.0378661,-0.990201,-0.461326,0.466115,0.00653538,0.00336373
0.0382689,-0.910107,-0.467747,0.488416,0.00606024,0.00279745
0.0386718,-0.825406,-0.474168,0.510716,0.00594316,0.00223118
0.0390746,-0.732825,-0.480589,0.533016,0.00582609,0.0016649
0.0394774,-0.617753,-0.48701,0.555316,0.00570901,0.00109863
0.0398803,-0.211304,-0.49343,0.577617,0.00559195,0.000532349
