Te_abscissa,Te_cdf,p_abscissa,p_cdf,split
10.1988,0.01,6.09974,0,All
11.2039,0.02,14.6548,0.01,All
12.2078,0.03,14.6548,0.02,All
16.2143,0.04,14.6548,0.03,All
17.2152,0.05,14.6549,0.04,All
19.2155,0.06,14.6549,0.05,All
19.2155,0.07,14.655,0.06,All
21.2136,0.08,14.6552,0.07,All
21.2136,0.09,14.6554,0.08,All
22.2119,0.1,14.6554,0.09,All
22.2119,0.11,14.6554,0.1,All
22.2119,0.12,14.6558,0.11,All
23.2096,0.13,14.6558,0.12,All
23.2097,0.14,14.6563,0.13,All
25.2039,0.15,14.657,0.14,All
27.1965,0.16,14.657,0.15,All
27.1965,0.17,14.658,0.16,All
28.1922,0.18,14.658,0.17,All
28.1922,0.19,14.658,0.18,All
28.1922,0.2,14.6587,0.19,All
29.1875,0.21,14.6611,0.2,All
30.1825,0.22,14.6611,0.21,All
31.1772,0.23,14.6632,0.22,All
31.1772,0.24,14.6632,0.23,All
32.1715,0.25,14.666,0.24,All
33.1655,0.26,14.666,0.25,All
34.1592,0.27,14.666,0.26,All
37.1384,0.28,14.6691,0.27,All
38.1309,0.29,14.6761,0.28,All
38.1309,0.3,14.6761,0.29,All
38.1309,0.31,14.68,0.3,All
41.1069,0.32,14.68,0.31,All
41.1069,0.33,14.684,0.32,All
42.0984,0.34,14.6849,0.33,All
43.0896,0.35,14.6922,0.34,All
45.0714,0.36,14.6922,0.35,All
46.062,0.37,14.7003,0.36,All
46.062,0.38,14.7003,0.37,All
51.0115,0.39,14.7042,0.38,All
52.0589,0.4,14.7081,0.39,All
52.059,0.41,14.7133,0.4,All
52.0592,0.42,14.7133,0.41,All
52.0657,0.43,14.7223,0.42,All
52.0658,0.44,14.7319,0.43,All
52.0713,0.45,14.7378,0.44,All
52.0806,0.46,14.746,0.45,All
52.0953,0.47,14.7485,0.46,All
52.0953,0.48,14.7534,0.47,All
52.0953,0.49,14.758,0.48,All
52.1186,0.5,14.7602,0.49,All
52.1187,0.51,14.7683,0.5,All
52.1557,0.52,14.7702,0.51,All
52.2125,0.53,14.772,0.52,All
52.2125,0.54,14.7853,0.53,All
52.2978,0.55,14.7853,0.54,All
52.2978,0.56,15.2057,0.55,All
52.2978,0.57,15.2113,0.56,All
52.405,0.58,15.2161,0.57,All
52.5945,0.59,15.2293,0.58,All
52.5945,0.6,15.2317,0.59,All
52.827,0.61,15.2357,0.6,All
52.827,0.62,15.2357,0.61,All
53.1338,0.63,15.239,0.62,All
53.1338,0.64,15.239,0.63,All
53.1338,0.65,15.2403,0.64,All
53.5124,0.66,15.2403,0.65,All
54.4811,0.67,15.2403,0.66,All
54.4812,0.68,15.2416,0.67,All
54.9726,0.69,15.2416,0.68,All
54.9726,0.7,15.2437,0.69,All
55.0706,0.71,15.2455,0.7,All
55.0706,0.72,15.2455,0.71,All
55.7194,0.73,15.2462,0.72,All
56.3939,0.74,15.2462,0.73,All
56.9522,0.75,15.2462,0.74,All
57.173,0.76,15.2469,0.75,All
57.173,0.77,15.2475,0.76,All
58.787,0.78,15.248,0.77,All
58.787,0.79,15.248,0.78,All
58.9311,0.8,15.2485,0.79,All
59.6312,0.81,15.2489,0.8,All
60.5082,0.82,15.2493,0.81,All
63.1921,0.83,15.25,0.82,All
63.1922,0.84,15.2502,0.83,All
64.1735,0.85,15.2504,0.84,All
65.8528,0.86,15.2504,0.85,All
66.8411,0.87,15.2504,0.86,All
67.0648,0.88,15.2507,0.87,All
69.036,0.89,15.2508,0.88,All
72.0385,0.9,15.2508,0.89,All
73.049,0.91,15.2508,0.9,All
75.0834,0.92,15.2509,0.91,All
76.7167,0.93,15.2509,0.92,All
77.1315,0.94,15.251,0.93,All
78.1597,0.95,15.251,0.94,All
82.2954,0.96,15.251,0.95,All
83.3339,0.97,15.251,0.96,All
84.3742,0.98,15.251,0.97,All
92.7577,0.99,15.251,0.98,All
92.7578,1,15.251,0.99,All
251.815,1,15.2511,1,All
251.815,1,35.2086,1,All
