Te_abscissa,Te_pdf,Te_cdf,p_abscissa,p_pdf,p_cdf,split
10.1988,0.00252608,0.00586545,6.09974,2.20677e-05,5.86322e-06,All
12.6393,0.00445049,0.0143184,6.39377,5.74522e-05,1.68266e-05,All
15.0799,0.00653087,0.027714,6.6878,0.000136052,4.3832e-05,All
17.5205,0.00853237,0.0461299,6.98183,0.000296101,0.000104745,All
19.961,0.0103044,0.069173,7.27586,0.000597541,0.000231727,All
22.4016,0.0117706,0.0961768,7.56989,0.00112674,0.000478361,All
24.8422,0.0129078,0.126358,7.86392,0.00199848,0.0009278,All
27.2827,0.0137265,0.158922,8.15795,0.00335377,0.00170092,All
29.7233,0.0142562,0.193124,8.45198,0.00535233,0.00296304,All
32.1639,0.0145347,0.228304,8.746,0.00815996,0.00492773,All
34.6044,0.0146024,0.263898,9.04003,0.0119317,0.00785617,All
37.045,0.0144979,0.29944,9.33406,0.016793,0.0120512,All
39.4856,0.0142567,0.334553,9.62809,0.0228212,0.017846,All
41.9261,0.0139096,0.368943,9.92212,0.0300306,0.0255874,All
44.3667,0.0134832,0.402384,10.2162,0.0383627,0.035616,All
46.8073,0.0129998,0.43471,10.5102,0.0476834,0.0482441,All
49.2478,0.0124776,0.465806,10.8042,0.0577879,0.0637337,All
51.6884,0.0119316,0.495595,11.0982,0.0684114,0.0822777,All
54.129,0.0113736,0.524036,11.3923,0.0792466,0.103984,All
56.5695,0.0108131,0.55111,11.6863,0.0899629,0.128868,All
59.0101,0.0102574,0.57682,11.9803,0.100228,0.156844,All
61.4507,0.00971211,0.601186,12.2744,0.109727,0.187732,All
63.8912,0.00918135,0.624238,12.5684,0.118181,0.221267,All
66.3318,0.00866816,0.646016,12.8624,0.125361,0.257105,All
68.7724,0.00817466,0.666565,13.1564,0.131096,0.294845,All
71.2129,0.00770221,0.685935,13.4505,0.135276,0.334044,All
73.6535,0.00725158,0.704178,13.7445,0.137856,0.374238,All
76.0941,0.00682311,0.721349,14.0385,0.138847,0.414956,All
78.5347,0.00641676,0.7375,14.3326,0.138316,0.455739,All
80.9752,0.00603223,0.752687,14.6266,0.136369,0.496155,All
83.4158,0.00566901,0.766962,14.9206,0.133149,0.535807,All
85.8564,0.00532646,0.780375,15.2146,0.128821,0.574346,All
88.2969,0.00500382,0.792977,15.5087,0.123565,0.611471,All
90.7375,0.00470026,0.804815,15.8027,0.117564,0.646936,All
93.1781,0.00441492,0.815935,16.0967,0.111002,0.68055,All
95.6186,0.0041469,0.826379,16.3908,0.104051,0.712174,All
98.0592,0.00389531,0.83619,16.6848,0.0968717,0.741716,All
100.5,0.00365926,0.845405,16.9788,0.0896082,0.769132,All
102.94,0.00343788,0.854063,17.2729,0.0823857,0.794415,All
105.381,0.00323034,0.862197,17.5669,0.0753098,0.817594,All
107.821,0.0030358,0.869841,17.8609,0.0684671,0.838724,All
110.262,0.00285348,0.877025,18.1549,0.0619255,0.857886,All
112.703,0.00268265,0.883779,18.449,0.0557355,0.875175,All
115.143,0.00252258,0.890128,18.743,0.0499323,0.8907,All
117.584,0.00237261,0.8961,19.037,0.0445372,0.904578,All
120.024,0.00223208,0.901717,19.3311,0.0395599,0.916931,All
122.465,0.00210041,0.907002,19.6251,0.0350003,0.927882,All
124.905,0.00197701,0.911976,19.9191,0.0308503,0.937553,All
127.346,0.00186137,0.916659,20.2131,0.0270957,0.946063,All
129.787,0.00175297,0.921068,20.5072,0.0237179,0.953524,All
132.227,0.00165134,0.925221,20.8012,0.0206947,0.960045,All
134.668,0.00155606,0.929133,21.0952,0.0180019,0.965726,All
137.108,0.00146669,0.932821,21.3893,0.0156142,0.970661,All
139.549,0.00138286,0.936297,21.6833,0.013506,0.974936,All
