standEta_Te_abscissa,standEta_Te_cdf,standEta_p_abscissa,standEta_p_cdf,split
-4,0,-4,0,All
-2.52014,0.01,7.20732e-07,0.01,All
-2.37483,0.02,2.1867e-06,0.02,All
-2.24215,0.03,3.30563e-06,0.03,All
-1.80337,0.04,4.55327e-05,0.04,All
-1.71077,0.05,4.59726e-05,0.05,All
-1.54083,0.06,7.89186e-05,0.06,All
-1.54083,0.07,0.000132272,0.07,All
-1.38789,0.08,0.000206931,0.08,All
-1.38789,0.09,0.000207659,0.09,All
-1.3168,0.1,0.000208528,0.1,All
-1.3168,0.11,0.0003212,0.11,All
-1.3168,0.12,0.000321819,0.12,All
-1.24886,0.13,0.000491496,0.13,All
-1.24886,0.14,0.000734945,0.14,All
-1.12143,0.15,0.000734986,0.15,All
-1.00379,0.16,0.00107452,0.16,All
-1.00379,0.17,0.00107513,0.17,All
-0.948203,0.18,0.00107556,0.18,All
-0.948203,0.19,0.00133126,0.19,All
-0.948203,0.2,0.00212793,0.2,All
-0.894563,0.21,0.00212932,0.21,All
-0.842739,0.22,0.00286612,0.22,All
-0.792614,0.23,0.00286703,0.23,All
-0.792613,0.24,0.00380418,0.24,All
-0.744078,0.25,0.00380423,0.25,All
-0.697035,0.26,0.00380479,0.26,All
-0.651395,0.27,0.00485655,0.27,All
-0.522117,0.28,0.00726406,0.28,All
-0.481344,0.29,0.0072649,0.29,All
-0.481344,0.3,0.00859149,0.3,All
-0.481343,0.31,0.00859415,0.31,All
-0.365162,0.32,0.00996191,0.32,All
-0.365162,0.33,0.0102573,0.33,All
-0.328315,0.34,0.012734,0.34,All
-0.292336,0.35,0.0127362,0.35,All
-0.222819,0.36,0.0155109,0.36,All
-0.18921,0.37,0.0155111,0.37,All
-0.18921,0.38,0.0168162,0.38,All
-0.0314212,0.39,0.018138,0.39,All
-1.15427e-07,0.4,0.0199182,0.4,All
4.70921e-06,0.41,0.0199205,0.41,All
1.09306e-05,0.42,0.0229751,0.42,All
0.000203835,0.43,0.0262306,0.43,All
0.000205032,0.44,0.0282337,0.44,All
0.000368567,0.45,0.0310017,0.45,All
0.000645291,0.46,0.0318652,0.46,All
0.0010816,0.47,0.0335175,0.47,All
0.00108187,0.48,0.035071,0.48,All
0.0010826,0.49,0.0358144,0.49,All
0.00177347,0.5,0.0385709,0.5,All
0.0017746,0.51,0.039213,0.51,All
0.00287191,0.52,0.0398353,0.52,All
0.00455542,0.53,0.0443167,0.53,All
0.00455579,0.54,0.0443167,0.54,All
0.00707972,0.55,0.184512,0.55,All
0.00708016,0.56,0.186356,0.56,All
0.00708032,0.57,0.187916,0.57,All
0.010244,0.58,0.192258,0.58,All
0.0158256,0.59,0.193039,0.59,All
0.0158258,0.6,0.194362,0.6,All
0.022645,0.61,0.194366,0.61,All
0.0226458,0.62,0.195429,0.62,All
0.0315976,0.63,0.195429,0.63,All
0.0315979,0.64,0.195886,0.64,All
0.0315984,0.65,0.195886,0.65,All
0.0425731,0.66,0.195887,0.66,All
0.0703108,0.67,0.196294,0.67,All
0.0703116,0.68,0.196297,0.68,All
0.0841943,0.69,0.196999,0.69,All
0.0841946,0.7,0.197568,0.7,All
0.0869474,0.71,0.197569,0.71,All
0.0869474,0.72,0.197813,0.72,All
0.105054,0.73,0.197813,0.73,All
0.123658,0.74,0.197815,0.74,All
0.138887,0.75,0.198033,0.75,All
0.144869,0.76,0.198226,0.76,All
0.144869,0.77,0.198405,0.77,All
0.187908,0.78,0.198406,0.78,All
0.187909,0.79,0.198564,0.79,All
0.191695,0.8,0.198702,0.8,All
0.209953,0.81,0.198824,0.81,All
0.232523,0.82,0.199042,0.82,All
0.299621,0.83,0.199106,0.83,All
0.299622,0.84,0.199177,0.84,All
0.323447,0.85,0.199178,0.85,All
0.363382,0.86,0.199181,0.86,All
0.38641,0.87,0.199276,0.87,All
0.391576,0.88,0.19932,0.88,All
0.436362,0.89,0.199322,0.89,All
0.502179,0.9,0.199327,0.9,All
0.523713,0.91,0.199344,0.91,All
0.566181,0.92,0.199349,0.92,All
0.599451,0.93,0.199365,0.93,All
0.607786,0.94,0.199368,0.94,All
0.62826,0.95,0.19937,0.95,All
0.707972,0.96,0.199381,0.96,All
0.727361,0.97,0.199385,0.97,All
0.74654,0.98,0.199385,0.98,All
0.892991,0.99,0.199392,0.99,All
0.892992,1,0.199401,1,All
4,1,4,1,All
