ID,standEta_Te_mean,standEta_Te_mode,standEta_p_mean,standEta_p_mode,filter
1,0.0894946,0.0841943,0.777525,0.199365,0
2,-0.236678,-0.292336,-0.118375,0.199368,0
3,-0.405581,-0.481343,-0.174167,0.199178,0
4,0.634819,0.123658,0.022297,0.0102573,0
5,0.383661,0.00177347,0.31046,0.000321819,0
6,-0.0264072,-0.0314212,-0.385632,0.199276,0
7,0.392183,0.38641,0.0687413,0.199327,0
8,-0.150576,-0.18921,-0.284708,0.199381,0
9,0.660115,0.105054,0.357969,0.00996191,0
10,-0.929166,-1.00379,0.025905,0.197568,0
11,-0.733343,-0.792613,0.455193,0.198405,0
12,-0.682062,-0.697035,0.203415,0.198702,0
13,-1.3571,-1.38789,-0.00717467,0.195429,0
14,1.16508,0.523713,-0.136893,0.0318652,0
15,1.01461,0.62826,0.485532,0.0358144,0
16,1.0465,0.707972,0.128196,0.0385709,0
17,-0.806079,-0.948203,-0.658233,0.197813,0
18,-0.367582,-0.481344,-0.381657,0.199181,0
19,-0.0297504,-1.15427e-07,-0.25565,7.20732e-07,0
20,-0.957066,-1.00379,-0.17367,0.197569,0
21,0.665419,0.0703116,0.250261,0.0072649,0
22,-1.38984,-1.38789,-0.418077,0.195429,0
23,1.17104,0.892992,-0.261228,0.0443167,0
24,0.452815,0.0315984,0.24946,0.00380479,0
25,0.778471,0.209953,-0.0129741,0.0168162,0
26,0.664988,0.0010826,-0.132346,0.000207659,0
27,0.112485,4.70921e-06,0.267917,2.1867e-06,0
28,0.783819,0.0869474,-0.0807655,0.00859415,0
29,0.207428,0.0315979,-0.222906,0.00380418,0
30,0.902268,0.299621,0.106966,0.0199205,0
31,0.54065,0.00708032,0.0264307,0.00107513,0
32,0.0932483,0.0017746,0.246172,0.0003212,0
33,0.416911,0.144869,-0.45384,0.012734,0
34,-0.88995,-0.948203,-0.247942,0.197813,0
35,0.432968,0.0425731,0.521631,0.00485655,0
36,-1.64962,-1.71077,-0.204689,0.193039,0
37,-0.490149,-0.522117,-0.336621,0.199106,0
38,-1.24583,-1.3168,-0.629338,0.195886,0
39,0.514313,0.0158258,0.195114,0.00212932,0
40,0.321728,0.000205032,-0.0761632,4.55327e-05,0
41,0.326278,0.000203835,0.138386,4.59726e-05,0
42,0.104469,0.00108187,-0.465012,0.000208528,0
43,-0.767074,-0.792614,0.209968,0.198406,0
44,0.834879,0.187908,-0.00172223,0.0155111,0
45,0.808639,0.00707972,-0.136016,0.00107556,0
46,0.542295,0.323447,-0.384169,0.0229751,0
47,-1.17847,-1.24886,-0.52778,0.196297,0
48,-0.84604,-0.842739,0.0835403,0.198226,0
49,0.422934,0.010244,-0.193833,0.00133126,0
50,-1.49516,-1.54083,-0.0357998,0.194366,0
51,0.165604,0.00455579,0.115601,0.000734945,0
52,-1.46635,-1.54083,-0.162429,0.194362,0
53,0.553678,0.022645,-0.0702696,0.00286703,0
54,0.577805,0.0226458,-0.14891,0.00286612,0
55,0.77868,0.0315976,0.027045,0.00380423,0
56,0.248807,1.09306e-05,0.179297,3.30563e-06,0
57,0.255186,0.000368567,-0.051834,7.89186e-05,0
58,-0.797878,-0.948203,-0.0613339,0.197815,0
59,-0.61195,-0.651395,-0.135105,0.198824,0
60,-0.105586,-0.18921,-0.110774,0.199385,0
61,-2.5673,-2.52014,0.369075,0.184512,0
62,0.599184,0.599451,0.0320009,0.199042,0
63,1.08618,0.892991,-0.329834,0.0443167,0
64,-0.293213,-0.328315,-0.364504,0.199349,0
65,0.785815,0.232523,-0.175992,0.018138,0
66,1.02896,0.727361,0.506372,0.039213,0
67,-0.373448,-0.365162,-0.0485003,0.19932,0
68,-1.2494,-1.24886,0.118293,0.196294,0
69,0.229294,0.191695,-0.562018,0.199401,0
70,-0.324323,-0.365162,0.306112,0.199322,0
71,-2.29681,-2.37483,0.11602,0.186356,0
72,0.408377,0.0010816,-0.197842,0.000206931,0
73,0.569365,0.144869,0.0675789,0.0127362,0
74,0.192565,0.0841946,0.18182,0.19937,0
75,-0.67959,-0.744078,0.0490279,0.198564,0
76,-0.326943,-0.481344,-0.285193,0.199177,0
77,1.02793,0.502179,0.041425,0.0310017,0
78,0.96778,0.436362,-0.116137,0.0282337,0
79,0.490012,0.0158256,0.117484,0.00212793,0
80,0.77894,0.187909,0.183485,0.0155109,0
81,-1.83438,-1.80337,0.372019,0.192258,0
82,1.05374,0.566181,0.135036,0.0335175,0
83,0.826736,0.000645291,0.257644,0.000132272,0
84,0.00970923,0.00287191,0.0234042,0.000491496,0
85,-1.20324,-1.3168,-0.32778,0.195886,0
86,-0.841194,-0.894563,-0.237266,0.198033,0
87,1.02826,0.607786,0.301253,0.035071,0
88,0.430329,0.0869474,0.220637,0.00859149,0
89,1.11507,0.74654,-0.0836849,0.0398353,0
90,0.782835,0.0703108,-0.0218524,0.00726406,0
91,-0.158032,-0.222819,-0.512971,0.199385,0
92,0.815246,0.299622,-0.0625154,0.0199182,0
93,-1.28068,-1.3168,0.0366288,0.195887,0
94,-2.21392,-2.24215,0.553454,0.187916,0
95,0.372046,0.363382,0.312109,0.199344,0
96,-1.02965,-1.12143,0.129869,0.196999,0
97,0.185531,0.138887,0.112308,0.199392,0
98,0.849232,0.391576,-0.114299,0.0262306,0
99,0.382692,0.00708016,0.083786,0.00107452,0
100,0.551033,0.00455542,-0.260985,0.000734986,0
