trans_Te_vs_WT_abscissa,trans_Te_vs_WT_spline,trans_Te_vs_WT_regression,trans_Te_vs_tWT_abscissa,trans_Te_vs_tWT_spline,trans_Te_vs_tWT_regression,trans_p_vs_WT_abscissa,trans_p_vs_WT_spline,trans_p_vs_WT_regression,trans_p_vs_tWT_abscissa,trans_p_vs_tWT_spline,trans_p_vs_tWT_regression,split
20,4.00701,3.84325,-1.17865,4.00561,3.88318,20,2.69318,2.7012,-1.17865,2.69142,2.69714,All
20.8485,3.9911,3.84213,-1.162,3.99872,3.88173,20.8485,2.69371,2.70126,-1.162,2.69177,2.69725,All
21.697,3.9752,3.841,-1.14535,3.99184,3.88028,21.697,2.69424,2.70132,-1.14535,2.69212,2.69735,All
22.5455,3.95929,3.83988,-1.1287,3.98495,3.87883,22.5455,2.69477,2.70138,-1.1287,2.69247,2.69745,All
23.3939,3.94338,3.83875,-1.11204,3.97807,3.87738,23.3939,2.69531,2.70143,-1.11204,2.69282,2.69756,All
24.2424,3.92747,3.83762,-1.09539,3.97118,3.87593,24.2424,2.69584,2.70149,-1.09539,2.69318,2.69766,All
25.0909,3.91156,3.8365,-1.07874,3.9643,3.87448,25.0909,2.69637,2.70155,-1.07874,2.69353,2.69777,All
25.9394,3.89565,3.83537,-1.06208,3.95741,3.87303,25.9394,2.6969,2.70161,-1.06208,2.69388,2.69787,All
26.7879,3.87974,3.83424,-1.04543,3.95053,3.87158,26.7879,2.69743,2.70167,-1.04543,2.69423,2.69797,All
27.6364,3.86384,3.83312,-1.02878,3.94365,3.87013,27.6364,2.69797,2.70172,-1.02878,2.69458,2.69808,All
28.4848,3.84793,3.83199,-1.01212,3.93676,3.86868,28.4848,2.6985,2.70178,-1.01212,2.69494,2.69818,All
29.3333,3.83202,3.83087,-0.995471,3.92988,3.86723,29.3333,2.69903,2.70184,-0.995471,2.69529,2.69829,All
30.1818,3.81611,3.82974,-0.978818,3.92299,3.86578,30.1818,2.69956,2.7019,-0.978818,2.69564,2.69839,All
31.0303,3.8002,3.82861,-0.962164,3.91611,3.86433,31.0303,2.70009,2.70196,-0.962164,2.69599,2.69849,All
31.8788,3.78429,3.82749,-0.945511,3.90922,3.86288,31.8788,2.70063,2.70201,-0.945511,2.69634,2.6986,All
32.7273,3.78026,3.82636,-0.928858,3.90234,3.86143,32.7273,2.70055,2.70207,-0.928858,2.6967,2.6987,All
33.5758,3.77976,3.82524,-0.912205,3.89545,3.85998,33.5758,2.70033,2.70213,-0.912205,2.69705,2.69881,All
34.4242,3.78001,3.82411,-0.895552,3.88857,3.85853,34.4242,2.7001,2.70219,-0.895552,2.6974,2.69891,All
35.2727,3.78025,3.82298,-0.878899,3.88168,3.85708,35.2727,2.69986,2.70225,-0.878899,2.69775,2.69901,All
36.1212,3.78077,3.82186,-0.862246,3.8748,3.85563,36.1212,2.69962,2.7023,-0.862246,2.6981,2.69912,All
36.9697,3.78296,3.82073,-0.845593,3.86791,3.85418,36.9697,2.69937,2.70236,-0.845593,2.69846,2.69922,All
37.8182,3.78514,3.8196,-0.82894,3.86103,3.85273,37.8182,2.69913,2.70242,-0.82894,2.69881,2.69933,All
38.6667,3.7879,3.81848,-0.812286,3.85414,3.85128,38.6667,2.69896,2.70248,-0.812286,2.69916,2.69943,All
39.5152,3.7908,3.81735,-0.795633,3.84726,3.84983,39.5152,2.6988,2.70254,-0.795633,2.69951,2.69953,All
40.3636,3.79371,3.81623,-0.77898,3.84037,3.84838,40.3636,2.69865,2.70259,-0.77898,2.69987,2.69964,All
41.2121,3.79657,3.8151,-0.762327,3.83349,3.84693,41.2121,2.69852,2.70265,-0.762327,2.70022,2.69974,All
42.0606,3.79928,3.81397,-0.745674,3.8266,3.84548,42.0606,2.69851,2.70271,-0.745674,2.70057,2.69985,All
42.9091,3.80163,3.81285,-0.729021,3.81972,3.84403,42.9091,2.69857,2.70277,-0.729021,2.70092,2.69995,All
43.7576,3.80347,3.81172,-0.712368,3.81283,3.84258,43.7576,2.69872,2.70283,-0.712368,2.70127,2.70006,All
44.6061,3.80437,3.81059,-0.695715,3.81021,3.84113,44.6061,2.69902,2.70288,-0.695715,2.70103,2.70016,All
45.4545,3.80491,3.80947,-0.679061,3.8088,3.83968,45.4545,2.69937,2.70294,-0.679061,2.70061,2.70026,All
46.303,3.80489,3.80834,-0.662408,3.80787,3.83823,46.303,2.6998,2.703,-0.662408,2.70022,2.70037,All
47.1515,3.8036,3.80722,-0.645755,3.80696,3.83678,47.1515,2.7004,2.70306,-0.645755,2.69984,2.70047,All
48,3.80123,3.80609,-0.629102,3.80606,3.83533,48,2.70112,2.70312,-0.629102,2.69945,2.70058,All
48.8485,3.79749,3.80496,-0.612449,3.80516,3.83388,48.8485,2.70201,2.70317,-0.612449,2.69906,2.70068,All
49.697,3.79293,3.80384,-0.595796,3.80426,3.83244,49.697,2.703,2.70323,-0.595796,2.69868,2.70078,All
50.5455,3.78791,3.80271,-0.579143,3.80359,3.83099,50.5455,2.70405,2.70329,-0.579143,2.69837,2.70089,All
