time,values,split
3,1,All
17,0.949495,All
18,0.949495,All
25,0.846289,All
25,0.846289,All
26,0.846289,All
27,0.824864,All
28,0.792304,All
28,0.792304,All
28,0.792304,All
29,0.780985,All
29,0.780985,All
30,0.769328,All
31,0.745657,All
31,0.745657,All
32,0.733433,All
32,0.733433,All
32,0.733433,All
33,0.720566,All
34,0.707464,All
34,0.707464,All
35,0.707464,All
35,0.707464,All
36,0.707464,All
36,0.707464,All
36,0.707464,All
37,0.692412,All
39,0.646251,All
39,0.646251,All
40,0.646251,All
40,0.646251,All
41,0.612238,All
42,0.594745,All
43,0.576723,All
43,0.576723,All
45,0.557499,All
45,0.557499,All
46,0.516203,All
47,0.516203,All
50,0.516203,All
50,0.516203,All
51,0.491622,All
54,0.491622,All
56,0.436997,All
59,0.378731,All
60,0.378731,All
62,0.378731,All
64,0.378731,All
65,0.378731,All
69,0.284048,All
70,0.284048,All
71,0.284048,All
79,0.189365,All
79,0.189365,All
