time,survivalFunction,averageEventNumber,split
0,1,0,All
3,1,0,All
10,0.989899,0.010101,All
11,0.979798,0.020202,All
12,0.969697,0.030303,All
16,0.959596,0.040404,All
17,0.949495,0.0505051,All
18,0.949495,0.0505051,All
19,0.928854,0.0711462,All
21,0.908213,0.0917874,All
22,0.877251,0.122749,All
23,0.85661,0.14339,All
25,0.846289,0.153711,All
26,0.846289,0.153711,All
27,0.824864,0.175136,All
28,0.792304,0.207696,All
29,0.780985,0.219015,All
30,0.769328,0.230672,All
31,0.745657,0.254343,All
32,0.733433,0.266567,All
33,0.720566,0.279434,All
34,0.707464,0.292536,All
35,0.707464,0.292536,All
36,0.707464,0.292536,All
37,0.692412,0.307588,All
38,0.646251,0.353749,All
39,0.646251,0.353749,All
40,0.646251,0.353749,All
41,0.612238,0.387762,All
42,0.594745,0.405255,All
43,0.576723,0.423277,All
45,0.557499,0.442501,All
46,0.516203,0.483797,All
47,0.516203,0.483797,All
50,0.516203,0.483797,All
51,0.491622,0.508378,All
54,0.491622,0.508378,All
55,0.436997,0.563003,All
56,0.436997,0.563003,All
57,0.407864,0.592136,All
59,0.378731,0.621269,All
60,0.378731,0.621269,All
62,0.378731,0.621269,All
64,0.378731,0.621269,All
65,0.378731,0.621269,All
66,0.331389,0.668611,All
67,0.284048,0.715952,All
69,0.284048,0.715952,All
70,0.284048,0.715952,All
71,0.284048,0.715952,All
77,0.189365,0.810635,All
79,0.189365,0.810635,All
