iteration,convergenceIndicator,phase,Te_pop,omega_Te,p_pop
1,1354.63,1,319,0.5,15
2,783.78,1,118.696,1.05238,14.1439
3,576.15,1,79.943,1.04584,13.6531
4,483.029,1,67.3985,1.01936,13.9419
5,455.664,1,63.4852,0.993547,13.6607
6,428.077,1,62.2222,0.96839,13.7142
7,438.174,1,67.2037,0.94387,13.4441
8,494.187,1,59.2314,0.91997,13.7418
9,423.204,1,59.0098,0.896676,13.6489
10,416.135,1,57.157,0.873972,13.9142
11,425.232,1,58.8061,0.851842,13.7741
12,405.881,1,55.8534,0.830273,13.7554
13,425.015,1,57.1835,0.80925,13.784
14,398.964,1,56.0531,0.78876,14.1937
15,401.048,1,55.1891,0.768788,14.6012
16,409.386,1,55.0235,0.749322,14.5357
17,385.114,1,54.3891,0.730348,14.8439
18,372.715,1,51.9812,0.711856,14.7116
19,406.09,1,53.7628,0.724439,14.5091
20,367.469,1,51.853,0.706096,14.6632
21,364.534,1,52.5437,0.688217,14.6644
22,395.904,1,54.4615,0.717637,14.6443
23,389.962,1,55.4867,0.699466,14.3298
24,393.314,1,54.0914,0.690154,14.586
25,391.6,1,56.0405,0.707285,14.9269
26,396.705,1,54.6113,0.689377,14.5906
27,369.897,1,49.0959,0.671921,14.0634
28,430.142,1,51.2856,0.67916,14.2215
29,404.53,1,51.6353,0.66485,14.598
30,405.652,1,49.3689,0.648016,14.7851
31,376.318,1,50.9927,0.631607,14.6237
32,386.681,1,50.3345,0.615615,14.6859
33,413.324,1,52.2115,0.6029,14.8328
34,380.944,1,50.916,0.598635,14.63
35,372.506,1,50.6089,0.624023,14.7181
36,369.658,1,51.2284,0.608223,14.6521
37,368.15,1,53.2836,0.642279,14.6661
38,347.185,1,50.5363,0.626016,14.6005
39,358.344,1,49.8489,0.610165,14.3829
40,333.653,1,48.751,0.594715,14.8774
41,341.321,1,47.958,0.603013,15.3596
42,354.428,1,48.0217,0.587744,15.2912
43,357.405,1,48.6492,0.597822,15.1938
44,364.656,1,49.777,0.601179,15.456
45,356.065,1,49.1418,0.585957,15.1775
46,369.528,1,51.1613,0.638872,15.4705
47,362.709,1,53.8076,0.64604,15.3103
48,363.217,1,51.9817,0.633691,15.5472
49,366.879,1,49.2997,0.617646,15.4851
50,384.76,2,50.2821,0.641271,15.2982
51,350.687,2,52.2156,0.654999,15.7049
52,368.973,2,50.084,0.645829,15.4825
53,362.572,2,50.9497,0.663975,15.4752
54,379.951,2,52.0243,0.667929,15.4753
55,383.843,2,51.2204,0.632689,15.271
56,390.914,2,51.4085,0.638042,15.1793
57,346.991,2,50.6838,0.615761,15.3204
58,402.03,2,51.8626,0.650634,15.3014
59,368.778,2,52.3814,0.66286,15.1493
60,411.627,2,53.7746,0.66183,15.0961
61,365.448,2,52.7641,0.66012,14.9903
62,378.036,2,53.2838,0.665075,14.8391
63,372.5,2,53.1864,0.674774,14.791
64,370.864,2,53.4297,0.664078,14.7213
65,392.353,2,52.8961,0.656836,14.6835
66,413.567,2,53.3956,0.670541,14.6563
67,396.95,2,53.3726,0.672287,14.6694
68,392.718,2,52.5188,0.659343,14.6363
69,387.642,2,52.2581,0.65259,14.6735
70,398.226,2,52.0886,0.648017,14.6585
71,362.471,2,52.0589,0.646833,14.6548
