time,survivalFunction_median,survivalFunction_p5,survivalFunction_p95,averageEventNumber_median,averageEventNumber_p5,averageEventNumber_p95,split
0,1,1,1,0,0,0,All
0.79798,1,1,1,0,0,0,All
1.59596,1,1,1,0,0,0,All
2.39394,1,1,1,0,0,0,All
3,1,1,1,0,0,0,All
3.19192,1,1,1,0,0,0,All
3.9899,1,1,1,0,0,0,All
4.78788,1,1,1,0,0,0,All
5.58586,1,0.99,1,0,0,0.01,All
6.38384,1,0.99,1,0,0,0.01,All
7.18182,1,0.99,1,0,0,0.01,All
7.9798,1,0.99,1,0,0,0.01,All
8.77778,1,0.98,1,0,0,0.02,All
9.57576,1,0.98,1,0,0,0.02,All
10,0.99,0.98,1,0.01,0,0.02,All
10.3737,0.99,0.98,1,0.01,0,0.02,All
11,0.99,0.97,1,0.01,0,0.03,All
11.1717,0.99,0.97,1,0.01,0,0.03,All
11.9697,0.99,0.97,1,0.01,0,0.03,All
12,0.99,0.97,1,0.01,0,0.03,All
12.7677,0.98,0.96,1,0.02,0,0.04,All
13.5657,0.98,0.95,1,0.02,0,0.05,All
14.3636,0.97,0.94,0.99,0.03,0.01,0.06,All
15.1616,0.97,0.93,0.99,0.03,0.01,0.07,All
15.9596,0.96,0.92,0.99,0.04,0.01,0.08,All
16,0.96,0.92,0.99,0.04,0.01,0.08,All
16.7576,0.95,0.91,0.98,0.05,0.02,0.09,All
17,0.95,0.91,0.98,0.05,0.02,0.09,All
17.5556,0.95,0.905,0.98,0.05,0.02,0.095,All
18,0.94,0.9,0.975,0.06,0.025,0.1,All
18.3535,0.94,0.895,0.97,0.06,0.03,0.105,All
19,0.93,0.89,0.96,0.07,0.04,0.11,All
19.1515,0.93,0.88,0.96,0.07,0.04,0.12,All
19.9495,0.92,0.87,0.96,0.08,0.04,0.13,All
20.7475,0.91,0.86,0.95,0.09,0.05,0.14,All
21,0.91,0.86,0.95,0.09,0.05,0.14,All
21.5455,0.9,0.85,0.94,0.1,0.06,0.15,All
22,0.89,0.84,0.94,0.11,0.06,0.16,All
22.3434,0.89,0.84,0.93,0.11,0.07,0.16,All
23,0.88,0.83,0.92,0.12,0.08,0.17,All
23.1414,0.88,0.82,0.92,0.12,0.08,0.18,All
23.9394,0.87,0.81,0.91,0.13,0.09,0.19,All
24.7374,0.86,0.8,0.91,0.14,0.09,0.2,All
25,0.85,0.795,0.9,0.15,0.1,0.205,All
25.5354,0.85,0.78,0.895,0.15,0.105,0.22,All
26,0.84,0.78,0.89,0.16,0.11,0.22,All
26.3333,0.83,0.77,0.88,0.17,0.12,0.23,All
27,0.82,0.765,0.88,0.18,0.12,0.235,All
27.1313,0.82,0.76,0.88,0.18,0.12,0.24,All
27.9293,0.81,0.75,0.87,0.19,0.13,0.25,All
28,0.81,0.745,0.87,0.19,0.13,0.255,All
28.7273,0.8,0.74,0.86,0.2,0.14,0.26,All
29,0.79,0.73,0.85,0.21,0.15,0.27,All
29.5253,0.79,0.72,0.84,0.21,0.16,0.28,All
30,0.78,0.71,0.84,0.22,0.16,0.29,All
30.3232,0.78,0.7,0.83,0.22,0.17,0.3,All
31,0.76,0.7,0.825,0.24,0.175,0.3,All
31.1212,0.76,0.69,0.82,0.24,0.18,0.31,All
31.9192,0.75,0.68,0.81,0.25,0.19,0.32,All
32,0.75,0.68,0.81,0.25,0.19,0.32,All
32.7172,0.74,0.67,0.8,0.26,0.2,0.33,All
33,0.73,0.665,0.8,0.27,0.2,0.335,All
33.5152,0.72,0.66,0.79,0.28,0.21,0.34,All
34,0.72,0.65,0.79,0.28,0.21,0.35,All
34.3131,0.71,0.64,0.79,0.29,0.21,0.36,All
35,0.7,0.63,0.77,0.3,0.23,0.37,All
35.1111,0.7,0.63,0.77,0.3,0.23,0.37,All
35.9091,0.69,0.62,0.76,0.31,0.24,0.38,All
36,0.69,0.615,0.76,0.31,0.24,0.385,All
36.7071,0.68,0.6,0.75,0.32,0.25,0.4,All
37,0.67,0.59,0.74,0.33,0.26,0.41,All
37.5051,0.66,0.59,0.73,0.34,0.27,0.41,All
38,0.65,0.58,0.73,0.35,0.27,0.42,All
38.303,0.65,0.58,0.73,0.35,0.27,0.42,All
39,0.64,0.56,0.72,0.36,0.28,0.44,All
39.101,0.64,0.56,0.72,0.36,0.28,0.44,All
39.899,0.63,0.55,0.7,0.37,0.3,0.45,All
40,0.63,0.55,0.7,0.37,0.3,0.45,All
40.697,0.62,0.54,0.69,0.38,0.31,0.46,All
41,0.61,0.54,0.69,0.39,0.31,0.46,All
41.4949,0.605,0.53,0.68,0.395,0.32,0.47,All
42,0.6,0.52,0.68,0.4,0.32,0.48,All
42.2929,0.59,0.52,0.67,0.41,0.33,0.48,All
43,0.59,0.5,0.67,0.41,0.33,0.5,All
43.0909,0.59,0.5,0.665,0.41,0.335,0.5,All
43.8889,0.57,0.49,0.65,0.43,0.35,0.51,All
44.6869,0.56,0.48,0.64,0.44,0.36,0.52,All
45,0.56,0.47,0.64,0.44,0.36,0.53,All
45.4848,0.55,0.46,0.64,0.45,0.36,0.54,All
46,0.54,0.46,0.63,0.46,0.37,0.54,All
46.2828,0.54,0.45,0.63,0.46,0.37,0.55,All
47,0.53,0.45,0.62,0.47,0.38,0.55,All
47.0808,0.53,0.445,0.615,0.47,0.385,0.555,All
47.8788,0.52,0.43,0.61,0.48,0.39,0.57,All
48.6768,0.51,0.42,0.595,0.49,0.405,0.58,All
49.4747,0.5,0.42,0.58,0.5,0.42,0.58,All
50,0.49,0.41,0.58,0.51,0.42,0.59,All
50.2727,0.49,0.41,0.57,0.51,0.43,0.59,All
51,0.48,0.395,0.57,0.52,0.43,0.605,All
51.0707,0.48,0.395,0.57,0.52,0.43,0.605,All
51.8687,0.47,0.39,0.56,0.53,0.44,0.61,All
52.6667,0.46,0.38,0.55,0.54,0.45,0.62,All
53.4646,0.45,0.365,0.54,0.55,0.46,0.635,All
54,0.45,0.36,0.54,0.55,0.46,0.64,All
54.2626,0.44,0.36,0.53,0.56,0.47,0.64,All
55,0.44,0.35,0.53,0.56,0.47,0.65,All
55.0606,0.44,0.35,0.53,0.56,0.47,0.65,All
55.8586,0.43,0.34,0.52,0.57,0.48,0.66,All
56,0.42,0.34,0.52,0.58,0.48,0.66,All
56.6566,0.42,0.34,0.5,0.58,0.5,0.66,All
57,0.42,0.33,0.5,0.58,0.5,0.67,All
57.4545,0.41,0.33,0.5,0.59,0.5,0.67,All
58.2525,0.4,0.32,0.49,0.6,0.51,0.68,All
59,0.39,0.31,0.48,0.61,0.52,0.69,All
59.0505,0.39,0.31,0.48,0.61,0.52,0.69,All
59.8485,0.39,0.3,0.47,0.61,0.53,0.7,All
60,0.38,0.3,0.47,0.62,0.53,0.7,All
60.6465,0.38,0.3,0.46,0.62,0.54,0.7,All
61.4444,0.37,0.29,0.46,0.63,0.54,0.71,All
62,0.36,0.285,0.45,0.64,0.55,0.715,All
62.2424,0.36,0.28,0.45,0.64,0.55,0.72,All
63.0404,0.35,0.28,0.44,0.65,0.56,0.72,All
63.8384,0.35,0.27,0.44,0.65,0.56,0.73,All
64,0.34,0.27,0.43,0.66,0.57,0.73,All
64.6364,0.34,0.265,0.43,0.66,0.57,0.735,All
65,0.34,0.26,0.42,0.66,0.58,0.74,All
65.4343,0.33,0.255,0.42,0.67,0.58,0.745,All
66,0.33,0.25,0.41,0.67,0.59,0.75,All
66.2323,0.32,0.25,0.41,0.68,0.59,0.75,All
67,0.32,0.245,0.41,0.68,0.59,0.755,All
67.0303,0.32,0.245,0.41,0.68,0.59,0.755,All
67.8283,0.31,0.24,0.4,0.69,0.6,0.76,All
68.6263,0.31,0.23,0.39,0.69,0.61,0.77,All
69,0.3,0.23,0.385,0.7,0.615,0.77,All
69.4242,0.3,0.22,0.38,0.7,0.62,0.78,All
70,0.29,0.22,0.38,0.71,0.62,0.78,All
70.2222,0.29,0.22,0.38,0.71,0.62,0.78,All
71,0.29,0.215,0.37,0.71,0.63,0.785,All
71.0202,0.29,0.215,0.37,0.71,0.63,0.785,All
71.8182,0.28,0.21,0.37,0.72,0.63,0.79,All
72.6162,0.27,0.2,0.36,0.73,0.64,0.8,All
73.4141,0.27,0.2,0.355,0.73,0.645,0.8,All
74.2121,0.26,0.19,0.35,0.74,0.65,0.81,All
75.0101,0.26,0.19,0.345,0.74,0.655,0.81,All
75.8081,0.255,0.18,0.34,0.745,0.66,0.82,All
76.6061,0.25,0.18,0.34,0.75,0.66,0.82,All
77,0.25,0.18,0.33,0.75,0.67,0.82,All
77.404,0.245,0.17,0.33,0.755,0.67,0.83,All
78.202,0.24,0.17,0.33,0.76,0.67,0.83,All
79,0.24,0.17,0.32,0.76,0.68,0.83,All
